gene	subtype	type
GQ428198.1.gene1.p01	beta_lactam__SHV-121	beta_lactam
gb|ADR80609.1|ARO:3001169|SHV-122	beta_lactam__SHV-122	beta_lactam
gb|ACV32633.1|ARO:3001170|SHV-123	beta_lactam__SHV-123	beta_lactam
gb|ACV32634.1|ARO:3001171|SHV-124	beta_lactam__SHV-124	beta_lactam
gb|ACV32635.1|ARO:3001172|SHV-125	beta_lactam__SHV-125	beta_lactam
gb|ACV32636.1|ARO:3001173|SHV-126	beta_lactam__SHV-126	beta_lactam
gb|ACV32637.1|ARO:3001174|SHV-127	beta_lactam__SHV-127	beta_lactam
GU932590.1.gene1.p1	beta_lactam__SHV-128	beta_lactam
GU827715.1.gene1.p01	beta_lactam__SHV-129	beta_lactam
AF164577.1.gene1.p01	beta_lactam__SHV-13	beta_lactam
AB551737.1.gene1.p01	beta_lactam__SHV-133	beta_lactam
HM559945.1.gene1.p01	beta_lactam__SHV-134	beta_lactam
HQ637576.1.gene1.p01	beta_lactam__SHV-135	beta_lactam
HQ661363.1.gene1.p1	beta_lactam__SHV-137	beta_lactam
AF226622.1.gene1.p01	beta_lactam__SHV-14	beta_lactam
JN051143.1.gene1.p01	beta_lactam__SHV-140	beta_lactam
JQ388884.1.gene1.p1	beta_lactam__SHV-141	beta_lactam
JQ029959.1.gene1.p01	beta_lactam__SHV-142	beta_lactam
JQ341060.1.gene1.p01	beta_lactam__SHV-143	beta_lactam
gb|AFK93491.1|ARO:3001345|SHV-144	beta_lactam__SHV-144	beta_lactam
JX013655.1.gene1.p01	beta_lactam__SHV-145	beta_lactam
JX121114.1.gene1.p01	beta_lactam__SHV-147	beta_lactam
JX121115.1.gene1.p01	beta_lactam__SHV-148	beta_lactam
JX121116.1.gene1.p01	beta_lactam__SHV-149	beta_lactam
AJ011428.2.gene1.p01	beta_lactam__SHV-15	beta_lactam
JX121117.1.gene1.p01	beta_lactam__SHV-150	beta_lactam
JX121118.1.gene1.p01	beta_lactam__SHV-151	beta_lactam
JX121119.1.gene1.p01	beta_lactam__SHV-152	beta_lactam
JX121120.1.gene1.p01	beta_lactam__SHV-153	beta_lactam
JX121121.1.gene1.p01	beta_lactam__SHV-154	beta_lactam
JX121122.1.gene1.p01	beta_lactam__SHV-155	beta_lactam
gb|AFQ23962.1|ARO:3001195|SHV-156	beta_lactam__SHV-156	beta_lactam
JX121124.1.gene1.p01	beta_lactam__SHV-157	beta_lactam
JX121125.1.gene1.p01	beta_lactam__SHV-158	beta_lactam
JX121126.1.gene1.p01	beta_lactam__SHV-159	beta_lactam
AF072684.2.gene1.p2	beta_lactam__SHV-16	beta_lactam
JX121127.1.gene1.p01	beta_lactam__SHV-160	beta_lactam
JX121128.1.gene1.p01	beta_lactam__SHV-161	beta_lactam
JX121129.1.gene1.p01	beta_lactam__SHV-162	beta_lactam
gb|AFQ23969.1|ARO:3001202|SHV-163	beta_lactam__SHV-163	beta_lactam
HE981194.1.gene1.p01	beta_lactam__SHV-164	beta_lactam
JX121131.1.gene1.p01	beta_lactam__SHV-165	beta_lactam
AB733453.1.gene1.p01	beta_lactam__SHV-167	beta_lactam
JX870080.1.gene1.p01	beta_lactam__SHV-168	beta_lactam
KF513177.1.gene1.p1	beta_lactam__SHV-172	beta_lactam
KF513178.1.gene1.p1	beta_lactam__SHV-173	beta_lactam
KF705209.1.gene1.p1	beta_lactam__SHV-178	beta_lactam
KF705208.1.gene1.p1	beta_lactam__SHV-179	beta_lactam
AF132290.1.gene1.p01	beta_lactam__SHV-18	beta_lactam
gb|AJO16040.1|ARO:3001350|SHV-180	beta_lactam__SHV-180	beta_lactam
gb|AJO16042.1|ARO:3001364|SHV-182	beta_lactam__SHV-182	beta_lactam
gb|CDN33427.1|ARO:3001351|SHV-183	beta_lactam__SHV-183	beta_lactam
gb|AIS67768.1|ARO:3003152|SHV-185	beta_lactam__SHV-185	beta_lactam
gb|AIS67769.1|ARO:3003153|SHV-186	beta_lactam__SHV-186	beta_lactam
gb|CEA29750.1|ARO:3003154|SHV-187	beta_lactam__SHV-187	beta_lactam
gb|CEA29751.1|ARO:3003155|SHV-188	beta_lactam__SHV-188	beta_lactam
gb|AJO16047.1|ARO:3003156|SHV-189	beta_lactam__SHV-189	beta_lactam
gb|AAF34333.1|ARO:3001077|SHV-19	beta_lactam__SHV-19	beta_lactam
AF148851.1.gene1.p01	beta_lactam__SHV-2	beta_lactam
gb|AAF34334.1|ARO:3001078|SHV-20	beta_lactam__SHV-20	beta_lactam
gb|AAF34335.1|ARO:3001079|SHV-21	beta_lactam__SHV-21	beta_lactam
gb|AAF34336.1|ARO:3001080|SHV-22	beta_lactam__SHV-22	beta_lactam
gb|AAF34337.1|ARO:3001081|SHV-23	beta_lactam__SHV-23	beta_lactam
AB023477.1.gene1.p01	beta_lactam__SHV-24	beta_lactam
AF208796.2.gene1.p01	beta_lactam__SHV-25	beta_lactam
AF227204.1.gene1.p01	beta_lactam__SHV-26	beta_lactam
gi|1008264055|gb|AMQ81152.1|	beta_lactam__SHV-26	beta_lactam
AF293345.1.gene1.p01	beta_lactam__SHV-27	beta_lactam
ACA09611	beta_lactam__SHV-28	beta_lactam
AF301532.1.gene1.p01	beta_lactam__SHV-29	beta_lactam
X98102.1.gene1.p01	beta_lactam__SHV-2A	beta_lactam
P30896	beta_lactam__SHV-3	beta_lactam
AY661885.1.gene1.p01	beta_lactam__SHV-30	beta_lactam
AY277255.2.gene1.p01	beta_lactam__SHV-31	beta_lactam
gb|AAK69828.1|ARO:3001090|SHV-32	beta_lactam__SHV-32	beta_lactam
JX268631.1.gene1.p01	beta_lactam__SHV-33	beta_lactam
AY036620.1.gene1.p01	beta_lactam__SHV-34	beta_lactam
AY070258.1.gene1.p1	beta_lactam__SHV-35	beta_lactam
AF467947.1.gene1.p1	beta_lactam__SHV-36	beta_lactam
AF467948.1.gene1.p1	beta_lactam__SHV-37	beta_lactam
AY079099.1.gene1.p01	beta_lactam__SHV-38	beta_lactam
AY150585.1.gene1.p1	beta_lactam__SHV-39	beta_lactam
gb|SPD96731.1|ARO:3001063|SHV-4	beta_lactam__SHV-4	beta_lactam
P37323	beta_lactam__SHV-4	beta_lactam
AF535128.1.gene1.p01	beta_lactam__SHV-40	beta_lactam
AF535129.1.gene1.p01	beta_lactam__SHV-41	beta_lactam
AF535130.1.gene1.p01	beta_lactam__SHV-42	beta_lactam
AAL40899	beta_lactam__SHV-43	beta_lactam
AY259119.1.gene1.p1	beta_lactam__SHV-44	beta_lactam
AF547625.1.gene1.p1	beta_lactam__SHV-45	beta_lactam
AY210887.1.gene1.p1	beta_lactam__SHV-46	beta_lactam
AY263404.1.gene1.p1	beta_lactam__SHV-48	beta_lactam
AY528718.1.gene1.p01	beta_lactam__SHV-49	beta_lactam
AY518560.gene.p01	beta_lactam__SHV-5	beta_lactam
AAT97115	beta_lactam__SHV-5	beta_lactam
AAX33294	beta_lactam__SHV-5	beta_lactam
AY288915.1.gene1.p01	beta_lactam__SHV-50	beta_lactam
AY289548.1.gene1.p01	beta_lactam__SHV-51	beta_lactam
HQ845196.1.gene1.p01	beta_lactam__SHV-52	beta_lactam
AY590467.1.gene1.p1	beta_lactam__SHV-53	beta_lactam
AJ863560.2.gene1.p01	beta_lactam__SHV-55	beta_lactam
EU586041.1.gene1.p01	beta_lactam__SHV-56	beta_lactam
AY223863.1.gene1.p01	beta_lactam__SHV-57	beta_lactam
AY790341.1.gene1.p01	beta_lactam__SHV-59	beta_lactam
Y11069.1.gene1.p01	beta_lactam__SHV-6	beta_lactam
AB302939.1.gene1.p01	beta_lactam__SHV-60	beta_lactam
gi|1008264053|gb|AMQ81151.1|	beta_lactam__SHV-60	beta_lactam
AJ866284.2.gene1.p01	beta_lactam__SHV-61	beta_lactam
AJ866285.2.gene1.p01	beta_lactam__SHV-62	beta_lactam
EU342351.1.gene1.p01	beta_lactam__SHV-63	beta_lactam
DQ174304.1.gene1.p01	beta_lactam__SHV-64	beta_lactam
DQ174305.1.gene1.p01	beta_lactam__SHV-65	beta_lactam
DQ174306.1.gene1.p01	beta_lactam__SHV-66	beta_lactam
DQ174307.1.gene1.p01	beta_lactam__SHV-67	beta_lactam
DQ174308.1.gene1.p01	beta_lactam__SHV-69	beta_lactam
U20270.1.gene1.p01	beta_lactam__SHV-7	beta_lactam
DQ013287.1.gene1.p1	beta_lactam__SHV-70	beta_lactam
AM176546.2.gene1.p01	beta_lactam__SHV-71	beta_lactam
AM176547.2.gene1.p01	beta_lactam__SHV-72	beta_lactam
AM176548.2.gene1.p01	beta_lactam__SHV-73	beta_lactam
AM176549.2.gene1.p01	beta_lactam__SHV-74	beta_lactam
AM176550.2.gene1.p01	beta_lactam__SHV-75	beta_lactam
AM176551.2.gene1.p01	beta_lactam__SHV-76	beta_lactam
AM176552.2.gene1.p01	beta_lactam__SHV-77	beta_lactam
AM176553.2.gene1.p01	beta_lactam__SHV-78	beta_lactam
AM176554.2.gene1.p01	beta_lactam__SHV-79	beta_lactam
U92041.1.gene1.p01	beta_lactam__SHV-8	beta_lactam
AM176555.2.gene1.p01	beta_lactam__SHV-80	beta_lactam
AM176556.2.gene1.p01	beta_lactam__SHV-81	beta_lactam
AM176557.2.gene1.p01	beta_lactam__SHV-82	beta_lactam
gb|CAJ47138.2|ARO:3001137|SHV-83	beta_lactam__SHV-83	beta_lactam
AM087453.1.gene1.p01	beta_lactam__SHV-84	beta_lactam
DQ322460.1.gene1.p1	beta_lactam__SHV-85	beta_lactam
DQ328802.1.gene1.p01	beta_lactam__SHV-86	beta_lactam
DQ193536.1.gene1.p01	beta_lactam__SHV-89	beta_lactam
AAB37395	beta_lactam__SHV-9	beta_lactam
DQ836922.1.gene1.p01	beta_lactam__SHV-92	beta_lactam
EF373969.1.gene1.p01	beta_lactam__SHV-93	beta_lactam
EF373970.1.gene1.p01	beta_lactam__SHV-94	beta_lactam
EF373972.1.gene1.p01	beta_lactam__SHV-95	beta_lactam
EF373971.1.gene1.p01	beta_lactam__SHV-96	beta_lactam
EF373973.1.gene1.p01	beta_lactam__SHV-97	beta_lactam
AM941844.1.gene1.p01	beta_lactam__SHV-98	beta_lactam
AM941845.1.gene1.p01	beta_lactam__SHV-99	beta_lactam
Z28968.gene.p01	beta_lactam__SME-1	beta_lactam
AF275256.gene.p01	beta_lactam__SME-2	beta_lactam
AY584237.1.gene1.p1	beta_lactam__SME-3	beta_lactam
KF481967.1.gene1.p01	beta_lactam__SME-4	beta_lactam
KJ188748.1.gene1.p01	beta_lactam__SME-5	beta_lactam
HQ451074.1.gene4.p01	beta_lactam__TEM-1	beta_lactam
CAL26907	beta_lactam__TEM-1	beta_lactam
gi|1031624195|gb|ANG09482.1|	beta_lactam__TEM-1	beta_lactam
gi|1031624224|gb|ANG09494.1|	beta_lactam__TEM-1	beta_lactam
gi|1031624302|gb|ANG09531.1|	beta_lactam__TEM-1	beta_lactam
gi|1031624378|gb|ANG09566.1|	beta_lactam__TEM-1	beta_lactam
gi|1031624471|gb|ANG09608.1|	beta_lactam__TEM-1	beta_lactam
gi|1031624503|gb|ANG09623.1|	beta_lactam__TEM-1	beta_lactam
gi|1031624646|gb|ANG09690.1|	beta_lactam__TEM-1	beta_lactam
gi|1031624931|gb|ANG09825.1|	beta_lactam__TEM-1	beta_lactam
gi|1031625090|gb|ANG09900.1|	beta_lactam__TEM-1	beta_lactam
gi|1031625197|gb|ANG09950.1|	beta_lactam__TEM-1	beta_lactam
gi|1031625355|gb|ANG10023.1|	beta_lactam__TEM-1	beta_lactam
gi|1031625639|gb|ANG10160.1|	beta_lactam__TEM-1	beta_lactam
gi|1031625992|gb|ANG10321.1|	beta_lactam__TEM-1	beta_lactam
gi|1031626014|gb|ANG10332.1|	beta_lactam__TEM-1	beta_lactam
gi|1031626531|gb|ANG10571.1|	beta_lactam__TEM-1	beta_lactam
gi|1031626545|gb|ANG10578.1|	beta_lactam__TEM-1	beta_lactam
gi|1031626630|gb|ANG10619.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627007|gb|ANG10795.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627039|gb|ANG10809.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627151|gb|ANG10864.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627317|gb|ANG10941.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627388|gb|ANG10976.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627449|gb|ANG11005.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627800|gb|ANG11172.1|	beta_lactam__TEM-1	beta_lactam
gi|1031627835|gb|ANG11187.1|	beta_lactam__TEM-1	beta_lactam
gi|1031628006|gb|ANG11269.1|	beta_lactam__TEM-1	beta_lactam
gi|1031628381|gb|ANG11443.1|	beta_lactam__TEM-1	beta_lactam
gi|1031628845|gb|ANG11664.1|	beta_lactam__TEM-1	beta_lactam
gi|1031628861|gb|ANG11672.1|	beta_lactam__TEM-1	beta_lactam
gi|1031629082|gb|ANG11777.1|	beta_lactam__TEM-1	beta_lactam
gi|1031629301|gb|ANG11880.1|	beta_lactam__TEM-1	beta_lactam
gi|1031629527|gb|ANG11987.1|	beta_lactam__TEM-1	beta_lactam
gi|1031629559|gb|ANG12003.1|	beta_lactam__TEM-1	beta_lactam
gi|1031629628|gb|ANG12036.1|	beta_lactam__TEM-1	beta_lactam
gi|1031630267|gb|ANG12333.1|	beta_lactam__TEM-1	beta_lactam
gi|1031630461|gb|ANG12423.1|	beta_lactam__TEM-1	beta_lactam
gi|1031630778|gb|ANG12568.1|	beta_lactam__TEM-1	beta_lactam
gi|1031631036|gb|ANG12686.1|	beta_lactam__TEM-1	beta_lactam
gi|1031631057|gb|ANG12696.1|	beta_lactam__TEM-1	beta_lactam
gi|1031631318|gb|ANG12819.1|	beta_lactam__TEM-1	beta_lactam
gi|1031631979|gb|ANG13130.1|	beta_lactam__TEM-1	beta_lactam
gi|1031632106|gb|ANG13191.1|	beta_lactam__TEM-1	beta_lactam
gi|1031632405|gb|ANG13336.1|	beta_lactam__TEM-1	beta_lactam
gi|1031632552|gb|ANG13404.1|	beta_lactam__TEM-1	beta_lactam
gi|1031632947|gb|ANG13589.1|	beta_lactam__TEM-1	beta_lactam
gi|1031633182|gb|ANG13700.1|	beta_lactam__TEM-1	beta_lactam
gi|1031633387|gb|ANG13795.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634170|gb|ANG14159.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634317|gb|ANG14225.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634658|gb|ANG14377.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634740|gb|ANG14416.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634800|gb|ANG14444.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634856|gb|ANG14470.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634900|gb|ANG14490.1|	beta_lactam__TEM-1	beta_lactam
gi|1031634941|gb|ANG14509.1|	beta_lactam__TEM-1	beta_lactam
gi|1031635111|gb|ANG14588.1|	beta_lactam__TEM-1	beta_lactam
gi|1031635134|gb|ANG14599.1|	beta_lactam__TEM-1	beta_lactam
gi|1031635263|gb|ANG14661.1|	beta_lactam__TEM-1	beta_lactam
gi|1031635489|gb|ANG14767.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636071|gb|ANG15041.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636121|gb|ANG15066.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636152|gb|ANG15081.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636580|gb|ANG15290.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636807|gb|ANG15402.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636880|gb|ANG15438.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636934|gb|ANG15465.1|	beta_lactam__TEM-1	beta_lactam
gi|1031636975|gb|ANG15485.1|	beta_lactam__TEM-1	beta_lactam
gi|1031637701|gb|ANG15841.1|	beta_lactam__TEM-1	beta_lactam
gi|1031638051|gb|ANG16011.1|	beta_lactam__TEM-1	beta_lactam
gi|1031638415|gb|ANG16191.1|	beta_lactam__TEM-1	beta_lactam
gi|1031638449|gb|ANG16208.1|	beta_lactam__TEM-1	beta_lactam
gi|1031639329|gb|ANG16637.1|	beta_lactam__TEM-1	beta_lactam
gi|1031639911|gb|ANG16922.1|	beta_lactam__TEM-1	beta_lactam
gi|1031640253|gb|ANG17092.1|	beta_lactam__TEM-1	beta_lactam
gi|1031640304|gb|ANG17117.1|	beta_lactam__TEM-1	beta_lactam
gi|1031640436|gb|ANG17183.1|	beta_lactam__TEM-1	beta_lactam
gi|1031641799|gb|ANG17861.1|	beta_lactam__TEM-1	beta_lactam
gi|1031642043|gb|ANG17982.1|	beta_lactam__TEM-1	beta_lactam
gi|1031642344|gb|ANG18131.1|	beta_lactam__TEM-1	beta_lactam
gi|1031642734|gb|ANG18325.1|	beta_lactam__TEM-1	beta_lactam
gi|1031642953|gb|ANG18433.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643426|gb|ANG18665.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643488|gb|ANG18696.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643695|gb|ANG18799.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643806|gb|ANG18854.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643874|gb|ANG18888.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643906|gb|ANG18904.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643956|gb|ANG18929.1|	beta_lactam__TEM-1	beta_lactam
gi|1031643997|gb|ANG18949.1|	beta_lactam__TEM-1	beta_lactam
gi|1031644372|gb|ANG19132.1|	beta_lactam__TEM-1	beta_lactam
gi|1031644419|gb|ANG19155.1|	beta_lactam__TEM-1	beta_lactam
gi|1031644955|gb|ANG19419.1|	beta_lactam__TEM-1	beta_lactam
gi|1031644959|gb|ANG19421.1|	beta_lactam__TEM-1	beta_lactam
gi|1031645360|gb|ANG19619.1|	beta_lactam__TEM-1	beta_lactam
gi|1031645883|gb|ANG19878.1|	beta_lactam__TEM-1	beta_lactam
gi|1031645901|gb|ANG19887.1|	beta_lactam__TEM-1	beta_lactam
gi|1031646140|gb|ANG20003.1|	beta_lactam__TEM-1	beta_lactam
gi|1031646597|gb|ANG20228.1|	beta_lactam__TEM-1	beta_lactam
gi|1031646733|gb|ANG20295.1|	beta_lactam__TEM-1	beta_lactam
gi|1031646764|gb|ANG20310.1|	beta_lactam__TEM-1	beta_lactam
gi|1031647452|gb|ANG20652.1|	beta_lactam__TEM-1	beta_lactam
gi|1031647735|gb|ANG20792.1|	beta_lactam__TEM-1	beta_lactam
gi|1031647757|gb|ANG20803.1|	beta_lactam__TEM-1	beta_lactam
gi|1031647891|gb|ANG20867.1|	beta_lactam__TEM-1	beta_lactam
gi|1031648149|gb|ANG20995.1|	beta_lactam__TEM-1	beta_lactam
gi|1031649231|gb|ANG21516.1|	beta_lactam__TEM-1	beta_lactam
gi|1031649510|gb|ANG21633.1|	beta_lactam__TEM-1	beta_lactam
gi|1031650410|gb|ANG22011.1|	beta_lactam__TEM-1	beta_lactam
gi|1031650730|gb|ANG22144.1|	beta_lactam__TEM-1	beta_lactam
gi|1031651563|gb|ANG22502.1|	beta_lactam__TEM-1	beta_lactam
gi|1031651615|gb|ANG22525.1|	beta_lactam__TEM-1	beta_lactam
gi|1031651921|gb|ANG22655.1|	beta_lactam__TEM-1	beta_lactam
gi|1031652280|gb|ANG22809.1|	beta_lactam__TEM-1	beta_lactam
gi|1031652761|gb|ANG23007.1|	beta_lactam__TEM-1	beta_lactam
gi|1031653325|gb|ANG23254.1|	beta_lactam__TEM-1	beta_lactam
gi|1031653436|gb|ANG23305.1|	beta_lactam__TEM-1	beta_lactam
gi|1031653696|gb|ANG23411.1|	beta_lactam__TEM-1	beta_lactam
gi|1031653780|gb|ANG23442.1|	beta_lactam__TEM-1	beta_lactam
gi|1031654105|gb|ANG23579.1|	beta_lactam__TEM-1	beta_lactam
gi|1031654280|gb|ANG23656.1|	beta_lactam__TEM-1	beta_lactam
gi|1031654323|gb|ANG23675.1|	beta_lactam__TEM-1	beta_lactam
gi|1031654327|gb|ANG23677.1|	beta_lactam__TEM-1	beta_lactam
gi|1031654576|gb|ANG23785.1|	beta_lactam__TEM-1	beta_lactam
gi|1031655273|gb|ANG24073.1|	beta_lactam__TEM-1	beta_lactam
gi|1031655584|gb|ANG24201.1|	beta_lactam__TEM-1	beta_lactam
gi|1031655761|gb|ANG24271.1|	beta_lactam__TEM-1	beta_lactam
gi|1031655881|gb|ANG24321.1|	beta_lactam__TEM-1	beta_lactam
gi|1031655966|gb|ANG24357.1|	beta_lactam__TEM-1	beta_lactam
gi|1031656033|gb|ANG24385.1|	beta_lactam__TEM-1	beta_lactam
gi|1031656085|gb|ANG24407.1|	beta_lactam__TEM-1	beta_lactam
gi|1031656232|gb|ANG24468.1|	beta_lactam__TEM-1	beta_lactam
gi|1031656791|gb|ANG24706.1|	beta_lactam__TEM-1	beta_lactam
gi|1031656810|gb|ANG24713.1|	beta_lactam__TEM-1	beta_lactam
gi|1031657016|gb|ANG24801.1|	beta_lactam__TEM-1	beta_lactam
gi|1031657082|gb|ANG24830.1|	beta_lactam__TEM-1	beta_lactam
gi|1031657475|gb|ANG24989.1|	beta_lactam__TEM-1	beta_lactam
gi|1031658245|gb|ANG25309.1|	beta_lactam__TEM-1	beta_lactam
gi|1031659054|gb|ANG25658.1|	beta_lactam__TEM-1	beta_lactam
gi|1031659099|gb|ANG25678.1|	beta_lactam__TEM-1	beta_lactam
gi|1031659229|gb|ANG25733.1|	beta_lactam__TEM-1	beta_lactam
gi|1031659353|gb|ANG25787.1|	beta_lactam__TEM-1	beta_lactam
gi|1031659397|gb|ANG25804.1|	beta_lactam__TEM-1	beta_lactam
gi|1031659669|gb|ANG25919.1|	beta_lactam__TEM-1	beta_lactam
gi|1031661007|gb|ANG26493.1|	beta_lactam__TEM-1	beta_lactam
gi|1031662238|gb|ANG27022.1|	beta_lactam__TEM-1	beta_lactam
gi|1031662604|gb|ANG27179.1|	beta_lactam__TEM-1	beta_lactam
gi|1031662882|gb|ANG27305.1|	beta_lactam__TEM-1	beta_lactam
gi|1031663070|gb|ANG27398.1|	beta_lactam__TEM-1	beta_lactam
gi|1031663106|gb|ANG27416.1|	beta_lactam__TEM-1	beta_lactam
gi|1031663473|gb|ANG27598.1|	beta_lactam__TEM-1	beta_lactam
gi|1031663675|gb|ANG27698.1|	beta_lactam__TEM-1	beta_lactam
gi|1031663809|gb|ANG27765.1|	beta_lactam__TEM-1	beta_lactam
gi|1031664029|gb|ANG27874.1|	beta_lactam__TEM-1	beta_lactam
gi|1031664346|gb|ANG28032.1|	beta_lactam__TEM-1	beta_lactam
gi|1031664416|gb|ANG28066.1|	beta_lactam__TEM-1	beta_lactam
gi|1031664524|gb|ANG28120.1|	beta_lactam__TEM-1	beta_lactam
gi|1031664546|gb|ANG28131.1|	beta_lactam__TEM-1	beta_lactam
gi|1031664792|gb|ANG28254.1|	beta_lactam__TEM-1	beta_lactam
gi|1031665539|gb|ANG28625.1|	beta_lactam__TEM-1	beta_lactam
gi|1031666097|gb|ANG28903.1|	beta_lactam__TEM-1	beta_lactam
gi|1031666286|gb|ANG28997.1|	beta_lactam__TEM-1	beta_lactam
gi|1031666304|gb|ANG29006.1|	beta_lactam__TEM-1	beta_lactam
gi|1031666449|gb|ANG29078.1|	beta_lactam__TEM-1	beta_lactam
gi|1031666764|gb|ANG29235.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667346|gb|ANG29526.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667374|gb|ANG29540.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667533|gb|ANG29619.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667539|gb|ANG29622.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667787|gb|ANG29746.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667883|gb|ANG29794.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667885|gb|ANG29795.1|	beta_lactam__TEM-1	beta_lactam
gi|1031667906|gb|ANG29805.1|	beta_lactam__TEM-1	beta_lactam
gi|1031668563|gb|ANG30132.1|	beta_lactam__TEM-1	beta_lactam
gi|1031669129|gb|ANG30415.1|	beta_lactam__TEM-1	beta_lactam
gi|1031669355|gb|ANG30528.1|	beta_lactam__TEM-1	beta_lactam
gi|1031669637|gb|ANG30669.1|	beta_lactam__TEM-1	beta_lactam
gi|1031670021|gb|ANG30860.1|	beta_lactam__TEM-1	beta_lactam
gi|1031670621|gb|ANG31159.1|	beta_lactam__TEM-1	beta_lactam
gi|1031670739|gb|ANG31218.1|	beta_lactam__TEM-1	beta_lactam
gi|1031671029|gb|ANG31363.1|	beta_lactam__TEM-1	beta_lactam
gi|1031671043|gb|ANG31370.1|	beta_lactam__TEM-1	beta_lactam
gi|1031671757|gb|ANG31726.1|	beta_lactam__TEM-1	beta_lactam
gi|1031671820|gb|ANG31757.1|	beta_lactam__TEM-1	beta_lactam
gi|1031671948|gb|ANG31821.1|	beta_lactam__TEM-1	beta_lactam
gi|1031672070|gb|ANG31882.1|	beta_lactam__TEM-1	beta_lactam
gi|1031672558|gb|ANG32125.1|	beta_lactam__TEM-1	beta_lactam
gi|1031672840|gb|ANG32266.1|	beta_lactam__TEM-1	beta_lactam
gi|1031672932|gb|ANG32312.1|	beta_lactam__TEM-1	beta_lactam
gi|1031673166|gb|ANG32428.1|	beta_lactam__TEM-1	beta_lactam
gi|1031674470|gb|ANG33079.1|	beta_lactam__TEM-1	beta_lactam
gi|1031674839|gb|ANG33262.1|	beta_lactam__TEM-1	beta_lactam
gi|1031674865|gb|ANG33275.1|	beta_lactam__TEM-1	beta_lactam
gi|1031674895|gb|ANG33290.1|	beta_lactam__TEM-1	beta_lactam
gi|1031675739|gb|ANG33710.1|	beta_lactam__TEM-1	beta_lactam
gi|1031676831|gb|ANG34252.1|	beta_lactam__TEM-1	beta_lactam
gi|1031678693|gb|ANG35178.1|	beta_lactam__TEM-1	beta_lactam
gi|1031679412|gb|ANG35535.1|	beta_lactam__TEM-1	beta_lactam
gi|1031680777|gb|ANG36213.1|	beta_lactam__TEM-1	beta_lactam
gi|1031681095|gb|ANG36371.1|	beta_lactam__TEM-1	beta_lactam
gi|1031681349|gb|ANG36497.1|	beta_lactam__TEM-1	beta_lactam
gi|1031682592|gb|ANG37114.1|	beta_lactam__TEM-1	beta_lactam
gi|1031683295|gb|ANG37464.1|	beta_lactam__TEM-1	beta_lactam
JF949916.1.gene1.p01	beta_lactam__TEM-1	beta_lactam
AF093512.1.gene1.p01	beta_lactam__TEM-10	beta_lactam
AF495873.1.gene1.p1	beta_lactam__TEM-101	beta_lactam
AY040093.1.gene1.p01	beta_lactam__TEM-102	beta_lactam
AF516719.1.gene1.p1	beta_lactam__TEM-104	beta_lactam
AF516720.1.gene1.p1	beta_lactam__TEM-105	beta_lactam
AY101578.1.gene1.p01	beta_lactam__TEM-106	beta_lactam
AY101764.1.gene1.p01	beta_lactam__TEM-107	beta_lactam
AF506748.1.gene1.p1	beta_lactam__TEM-108	beta_lactam
AY628175.1.gene1.p01	beta_lactam__TEM-109	beta_lactam
AY874537.1.gene1.p01	beta_lactam__TEM-11	beta_lactam
AY072920.1.gene1.p1	beta_lactam__TEM-110	beta_lactam
AF468003.1.gene1.p1	beta_lactam__TEM-111	beta_lactam
AY589493.1.gene1.p01	beta_lactam__TEM-112	beta_lactam
AY589494.1.gene1.p01	beta_lactam__TEM-113	beta_lactam
AY589495.1.gene1.p01	beta_lactam__TEM-114	beta_lactam
